match_id;date_id;away_team;away_pts;home_pts;home_team
12192022NOP;61;MIL;119;128;NOP
12192022MIN;61;DAL;106;116;MIN
12192022HOU;61;SAS;105;124;HOU
12192022CLE;61;UTA;122;99;CLE
12192022ATL;61;ORL;126;125;ATL
12192022OKC;61;POR;123;121;OKC
12202022DEN;62;MEM;105;91;DEN
12202022DET;62;UTA;126;111;DET
12202022MIA;62;CHI;113;103;MIA
12202022NYK;62;GSW;132;94;NYK
12202022PHX;62;WAS;113;110;PHX
12212022PHI;63;DET;113;93;PHI
12212022OKC;63;POR;98;101;OKC
12212022MIN;63;DAL;104;99;MIN
12212022SAC;63;LAL;134;120;SAC
12212022HOU;63;ORL;110;116;HOU
12212022LAC;63;CHA;126;105;LAC
12212022ATL;63;CHI;108;110;ATL
12212022NYK;63;TOR;113;106;NYK
12212022BOS;63;IND;112;117;BOS
12212022BKN;63;GSW;113;143;BKN
12212022CLE;63;MIL;114;106;CLE
12222022NOP;64;SAS;117;126;NOP
12222022UTA;64;WAS;120;112;UTA
12232022SAC;65;WAS;125;111;SAC
12232022PHX;65;MEM;100;125;PHX
12232022PHI;65;LAC;114;119;PHI
12232022ORL;65;SAS;133;113;ORL
12232022OKC;65;NOP;128;125;OKC
12232022NYK;65;CHI;117;118;NYK
12232022LAL;65;CHA;130;134;LAL
12232022HOU;65;DAL;112;106;HOU
12232022DEN;65;POR;120;107;DEN
12232022CLE;65;TOR;118;107;CLE
12232022BOS;65;MIN;121;109;BOS
12232022BKN;65;MIL;100;118;BKN
12232022ATL;65;DET;105;130;ATL
12232022MIA;65;IND;108;111;MIA
12252022NYK;66;PHI;119;112;NYK
12252022BOS;66;MIL;139;118;BOS
12252022DEN;66;PHX;125;128;DEN
12252022DAL;66;LAL;124;115;DAL
12252022GSW;66;MEM;123;109;GSW
12262022CHI;67;HOU;118;133;CHI
12262022CLE;67;BKN;117;125;CLE
12262022DET;67;LAC;142;131;DET
12262022MIA;67;MIN;113;110;MIA
12262022NOP;67;IND;113;93;NOP
12262022POR;67;CHA;124;113;POR
12262022SAS;67;UTA;126;122;SAS
12272022WAS;68;PHI;111;116;WAS
12272022SAC;68;DEN;106;113;SAC
12272022TOR;68;LAC;113;124;TOR
12272022ORL;68;LAL;110;129;ORL
12272022GSW;68;CHA;105;110;GSW
12272022MEM;68;PHX;108;125;MEM
12272022OKC;68;SAS;114;130;OKC
12272022BOS;68;HOU;102;126;BOS
12272022DAL;68;NYK;121;126;DAL
12272022IND;68;ATL;114;129;IND
12282022ATL;69;BKN;107;108;ATL
12282022CHI;69;MIL;113;119;CHI
12282022DET;69;ORL;101;121;DET
12282022GSW;69;UTA;112;107;GSW
12282022MIA;69;LAL;98;112;MIA
12282022NOP;69;MIN;118;119;NOP
12282022SAC;69;DEN;126;127;SAC
12282022WAS;69;PHX;127;102;WAS
12292022TOR;70;MEM;119;106;TOR
12292022SAS;70;NYK;122;115;SAS
12292022CHA;70;OKC;113;121;CHA
12292022BOS;70;LAC;110;116;BOS
12292022IND;70;CLE;126;135;IND
12292022DAL;70;HOU;114;129;DAL
12302022ATL;71;LAL;130;121;ATL
12302022CHI;71;DET;118;132;CHI
12302022DEN;71;MIA;119;124;DEN
12302022GSW;71;POR;112;118;GSW
12302022MIL;71;MIN;123;114;MIL
12302022NOP;71;PHI;116;127;NOP
12302022ORL;71;WAS;100;119;ORL
12302022SAC;71;UTA;125;126;SAC
12302022TOR;71;PHX;113;104;TOR
12312022UTA;72;MIA;126;123;UTA
12312022CHI;72;CLE;102;103;CHI
12312022HOU;72;NYK;108;88;HOU
12312022IND;72;LAC;131;130;IND
12312022MEM;72;NOP;101;116;MEM
12312022MIN;72;DET;116;104;MIN
12312022OKC;72;PHI;96;115;OKC
12312022CHA;72;BKN;106;123;CHA
12312022SAS;72;DAL;125;126;SAS
01012023DEN;73;BOS;111;123;DEN
01012023MEM;73;SAC;108;118;MEM
01012023MIL;73;WAS;95;118;MIL
01022023MIN;74;DEN;111;124;MIN
01022023BKN;74;SAS;103;139;BKN
01022023CHA;74;LAL;121;115;CHA
01022023CLE;74;CHI;145;134;CLE
01022023GSW;74;ATL;143;141;GSW
01022023HOU;74;DAL;106;111;HOU
01022023IND;74;TOR;114;122;IND
01022023LAC;74;MIA;110;100;LAC
01022023NYK;74;PHX;102;83;NYK
01022023PHI;74;NOP;111;120;PHI
01022023POR;74;DET;106;135;POR
01032023OKC;75;BOS;150;117;OKC
01032023UTA;75;SAC;115;117;UTA
01032023MIL;75;WAS;123;113;MIL
01042023NYK;76;SAS;114;117;NYK
01042023TOR;76;MIL;101;104;TOR
01042023SAC;76;ATL;117;120;SAC
01042023PHI;76;IND;126;129;PHI
01042023ORL;76;OKC;126;115;ORL
01042023NOP;76;HOU;119;108;NOP
01042023CHI;76;BKN;121;112;CHI
01042023LAL;76;MIA;109;112;LAL
01042023GSW;76;DET;119;122;GSW
01042023CLE;76;PHX;88;90;CLE
01042023CHA;76;MEM;107;131;CHA
01042023MIN;76;POR;106;113;MIN
01052023ORL;77;MEM;123;115;ORL
01052023DAL;77;BOS;95;124;DAL
01052023DEN;77;LAC;91;122;DEN
01052023HOU;77;UTA;131;114;HOU
01062023PHX;78;MIA;104;96;PHX
01062023SAS;78;DET;109;121;SAS
01062023OKC;78;WAS;127;110;OKC
01062023PHI;78;CHI;126;112;PHI
01062023TOR;78;NYK;112;108;TOR
01062023NOP;78;BKN;108;102;NOP
01062023MIL;78;CHA;138;109;MIL
01062023LAL;78;ATL;114;130;LAL
01062023IND;78;POR;99;108;IND
01062023DEN;78;CLE;108;121;DEN
01062023MIN;78;LAC;115;128;MIN
